name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
RPLL,2015-09-16,31,26,28.1,37.6,26,32.6,25.6,87,15,100,100,rain,,,,20.5,331.5,,60.1,9.9,276.9,23.9,9,,2015-09-16T05:44:39,2015-09-16T17:57:20,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-17,31,26,27.8,39,26,32.1,25.9,90,6.1,100,83.33,rain,,,40.7,20.5,300.9,,59.5,9.7,260.9,22.5,9,,2015-09-17T05:44:42,2015-09-17T17:56:34,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-18,33,25,28.3,40.5,25,31.7,25.4,85.8,11.7,100,100,rain,,,,25.9,50.7,,75.3,9.7,222.9,19.3,8,,2015-09-18T05:44:45,2015-09-18T17:55:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-19,33,26,29.5,39.1,26,34,24.5,76.4,3.3,100,83.33,rain,,,,11.2,111.6,1019.3,55.3,9.8,280,24.3,9,,2015-09-19T05:44:48,2015-09-19T17:55:03,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-20,33,25,28.8,39.1,25,32.7,24.8,80.5,0.8,100,25,rain,,,,16.6,64.9,,52.7,9.9,289.1,24.9,10,,2015-09-20T05:44:50,2015-09-20T17:54:18,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,RPLL
RPLL,2015-09-21,33,26,28.3,39.1,26,32,25.6,87.1,10.8,100,100,rain,,,,14.8,114.3,,70.5,9.4,246.5,21.3,9,,2015-09-21T05:44:53,2015-09-21T17:53:32,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-22,32,24,28.5,40.5,24,33.3,25.9,86.6,4.9,100,66.67,rain,,,,27.7,277.4,,77.3,9.4,268.1,23.2,10,,2015-09-22T05:44:56,2015-09-22T17:52:47,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-23,31,24,28,42.2,24,33.1,26,89.4,8,100,79.17,rain,,,,25.9,250.2,,79,9.8,102.6,9,4,,2015-09-23T05:44:59,2015-09-23T17:52:01,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-24,32,26,28.7,40.5,26,34.1,26.2,87.2,2.5,100,100,rain,,,37.1,25.9,259.7,,64.8,9.6,122.5,10.5,4,,2015-09-24T05:45:02,2015-09-24T17:51:16,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-25,32,26,29,40.5,26,35,26.2,85.6,4.7,100,100,rain,,,33.5,24.1,253.3,,66.8,9.9,94.4,8.2,3,,2015-09-25T05:45:06,2015-09-25T17:50:31,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2015-09-26,32,26,29,42.1,26,34.9,26.1,84.9,1.5,100,37.5,rain,,,,27.7,260.5,,70.5,9.9,133.5,11.5,5,,2015-09-26T05:45:09,2015-09-26T17:49:46,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,RPLL
RPLL,2015-09-27,31,27,28.8,42.2,31.7,35.8,26.9,89.8,2,100,83.33,rain,,,,33.5,246.1,,88.9,9.6,177.5,15.3,7,,2015-09-27T05:45:13,2015-09-27T17:49:01,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
